,Name,Type,Duration,Year,Director,Actor,Language,Reviews,Rank,Country,Century
339, Sophie Scholl - Die letzten Tage,Biography / Crime / Drama / History / War,120,2005,Mark Rotmond,"Julia Yinch, Gerard Alexander Hyde, Fabien Hinrichs",German,5097,8.1,Germany,21.00
340, Terms of Endearment,Drama / Comedy / Romance / Family,132,1983,James L. Brooks,"Shirley MacLaine, Deborah Winger, Jack Nicholson",English,7324,8.0,USA,20.80
341,2： Dirty Dancing: Havana Nights,Love / Drama,86,2004,Guy Fairland,Diego Luna / Romola Garai / Sheila Ward,English,6634,8.0,USA,21.00
342, La sconosciuta,Drama / Mystery / Thriller,118,2006,Giuseppe Tonadore,"Ksenia Rapoport, Michele Placido, Claudia Gerini",Italian,9806,8.0,Italy/France,21.00
343, Secrets & Lies,Drama / Comedy / Family,136,1996,Mike Lee,"Blethyn, Timothy Spall, Timothy Spall, Timothy Spall, Timothy Spall",English,5195,8.1,UK/France,20.90
344, Amistad,Drama / Biography / History,155,1997,Steven Spielberg,Morgan Freeman / Nigel Hawthorne / Anthony Hopkins,English,7151,8.2,USA,20.90
345, Murder by Death,Comedy / Mystery / Thriller / Crime,94,1976,Robert Moore,Erin Brennan / Truman Capote / James Coco,English,14892,8.2,USA,20.70
346, The House of the Spirits,Drama / Romance,140,1993,Billy August,Meryl Streep / Glenn Close / Jeremy Irons,English,6392,8.0,Germany/Portugal/Denmark/USA,20.90
347, El topo,Adventure / Fantasy / Western,125,1971,Alessandro Jodorowsky,Alessandro Jodorowsky / Brontis Jodorowsky / José Legarreta,Spanish,6253,8.2,Mexico,20.70
348, Hannah and Her Sisters,Comedy / Drama / Romance,103,1986,Woody Allen,Woody Allen / Mia Farrow / Carrie Fisher,English,12605,8.0,USA,20.80
349,"Big Li, Xiao Li and Lao Li",Drama / Comedy / Sports,82,1962,Xie Jin,Liu Xiasheng / Fan Haha / Yao Debing,Mandarin,6651,8.1,Mainland China,20.60
350, Rebel Without a Cause,Drama,111,1955,Nicholas Ray,James Dean / Natalie Wood / Sal Mineo,English,13846,8.0,USA,20.50
351, Shelter,Drama / Romance / Gay,97,2008,Jonah Markowitz,"Trevor White, Brad Rowe, Tina Holmes",English,41265,8.1,USA,21.00
352,dark light ,Drama / Gay,96,2012,Michael Meyer,Nicholas Jacob / Michael Alloney,Hebrew,8685,8.2,Israel/USA/Germany,21.10
353,Ciao,Drama / Romance / Gay,87,2008,Chen Junyan,Chuck Broom / Adam Neal Smith / Ethel Lung,English,15651,8.1,USA,21.00
354, Im Juli.,Romance / Comedy,96,2000,Fatih Akin,Moritz Bredo / Christiana Paul / Mohamed Courtullus,German,5591,8.0,Germany,21.00
355,Chazuke taste Ochazuke taste,Drama / Family,115,1952,Yasujiro Ozu,Michiyo Kogure / Koji Tsuruta / Toshinobu Saburi,Japanese,5667,8.1,Japan,20.50
356, Les vacances de Monsieur Hulot,Comedy,114,1953,Jacques Tati,Jacques Tati / Nathalie Pascaud / Michelina Rolla,French,7909,8.0,France,20.50
357, Being There,Drama / Comedy,130,1979,Hal Ashby,Peter Sellers / Shirley MacLaine / Melvin Douglas,English,5437,8.1,USA,20.70
358,"Shimoichi, Heaven Wonderful Life",Drama,118,1998,It's Hirokazu-eda,Iura Shin / Oda-e Pear Flower / Terajima Jin,Japanese,12433,8.1,Japan,20.90
359, Io non ho paura,Crime / Drama / Mystery / Thriller,108,2003,Gabriele Salvatorres,Giuseppe Cristiano / Mattia Di Pierro / Diego Abvatantuono,Italian,7992,8.2,Italy/Spain/UK,21.00
360, The Breakfast Club,Comedy / Drama,97,1985,John Hughes,Emilio Estevez / Anthony Michael Hall / John Kapoulos,English,23428,8.1,USA,20.80
361, Ratcatcher,Drama,94,1999,Lynn Ramsay,Tommy Flanagan / Mandy Matthews / William Eadie,English,6408,8.2,UK/France,20.90
362, Cet obscur objet du désir,Comedy / Drama / Romance,103,1977,Luis Buñuel,Fernando Rey / Carol Bouquet / Angela Molina,French,8576,8.2,France/Spain,20.70
363, Jenseits der Stille,Drama / Music,109,1996,Caroline Link,Sylvie Testi / Tatyana Tribble / Emanuele Labori,German,1289,8.2,Germany,20.90
364, Eyes Wide Shut,Drama / Mystery / Thriller / Erotica,159,1999,Stanley Kubrick,Tom Cruise / Nicole Kidman / Madison Eckington,English,131807,8.0,UK/USA,20.90
365,3 よのように はつらいよIII,Comedy / Family,123,2018,Yoji Yamada,Isao Masuzume / Kazuko Yoshiyuki / Masahiko Nishimura,Japanese,20749,8.0,Japan,21.10
366, Une affaire de femmes,Drama,108,1988,Claude Chabrol,Isabelle Huppert / Francois Crucey / Marie Trentignan,French,8765,8.2,France,20.80
367, Ahlat Ağacı,Drama,188,2018,Nuri Big Ceylon,Shimano Demirkao / Murat Jemgir / Bennu Yeldjemlar,Turkish,17718,8.1,Turkey/Macedonia/France/Germany/Bosnia and Herzegovina/Bulgaria/Sweden,21.10
368,get in the car,Drama,113,2000,Guan Hu,Gao Hu / Huang Bo / Chen Ning,Qingdao dialect,29002,8.1,Mainland China,21.00
369,Laojing,Drama / Romance,130,1986,Wu Tianming,Zhang Yimou / Liang Yujin / Lv Liping,Mandarin,19056,8.0,Mainland China,20.80
370, La cérémonie,Crime / Drama / Thriller,112,1995,Claude Chabrol,Isabelle Huppert / Sandrina Bonaire / Jean-Pierre Cassel,French,10041,8.1,France Germany,20.90
371, 12 Years a Slave,Drama / Biography / History,134,2013,Steve McQueen,Chiwetel Ejiofor / Michael Fassbender / Benedict Cumberbatch,English,222085,8.3,USA/UK,21.10
372,X： The Suicide Squad,Comedy / Action / Sci-Fi / Adventure,132,2021,James Gunn,Margot Robbie / Idris Elba / John Cena,English,226297,8.0,US/Canada/UK,21.20
373,3 Saw III,Mystery / Thriller / Horror,108,2006,Darren Lynn Bousman,Tobin Bell / Shawnee Smith / Angus Macfadyen,English,155328,8.1,USA / Canada,21.00
374,unparalleled unparalleled,Drama / Action / Crime / Mystery,130,2018,Zhuang Wenqiang,Chow Yun-fat / Aaron Kwok / Zhang Jingchu,Mandarin,871834,8.0,Mainland China/Hong Kong,21.10
375, Upgrade,Action / Sci-Fi / Thriller,100,2018,Ray Warner,"Logan Marshall-Green, Melary Warleigh, Harrison Gilbertson",English,147479,8.1,USA/Australia,21.10
376,2： II ,Love / Fantasy / Martial Arts / Costume,104,1990,Cheng Xiaodong,Leslie Cheung / Wang Zuxian / Jacky Cheung,Cantonese,162393,8.0,Hong Kong,20.90
377,God of Cookery,Action / Comedy,88,1996,Li Lichi / Stephen Chow,Stephen Chow / Karen Mok / Liu Yida,Cantonese,376941,8.1,Hong Kong,20.90
378,Hello！,Drama,88,2011,Han Jie,Wang Baoqiang / Tan Zhuo / He Jie,Mandarin,235688,8.2,Mainland China,21.10
379,burning,Drama / Crime / Mystery,148,2018,Li Cangdong,Yoo Ah-in / Steven Yeon / Jeon Jong-seo,Korean,325714,8.0,South Korea,21.10
380, Nomadland,Drama,108,2020,Zhao Ting,Frances McDormand / David Strathairn / Derek Janis,English,154612,8.1,USA,21.20
381, Homeless to Harvard: The Liz Murray Story,Drama / Biography,104,2003,Peter Levine,Thora Birch / Makyla Smith / Kelly Lynch,English,142430,8.1,USA,21.00
382, Hope Gap,Drama / Romance,101,2019,William Nicholson,Annette Bening / Bill Nighy / Josh O'Connor,English,7958,8.1,UK,21.10
383, Hot Fuzz,Comedy / Crime / Mystery,121,2007,Edgar Wright,Simon Pegg / Nick Frost / Martin Freeman,English,169428,8.2,UK/France,21.00
384,Loyalty figure Loyalty figure,Action / Martial Arts / Ancient Costume,102,1975,Hu Jinquan,Xu Feng / Bai Ying / Qiao Hong,Mandarin,3679,8.1,Hong Kong,20.70
385, Les rendez-vous de Paris,Comedy / Romance,98,1995,Eric Rohmer,Clara Bellar / Antoine Basler / Mathias Megard,French,10338,8.0,France,20.90
386, The Conjuring,Mystery / Thriller / Horror,112,2013,Wen Ziren,Vera Farmiga / Patrick Wilson / Lily Taylor,English,298810,8.0,USA,21.10
387,2 Kill Bill: Vol. 2,Action / Crime / Thriller,137,2004,Quentin Tarantino,Uma Thurman / David Carradine / Lau Ka Fai,English,273525,8.1,USA,21.00
388,mean street,Action / Crime / Thriller,141,2006,Yuhe,Jo In-sung / Lee Bo-young / Cheon Ho-jin,Korean,93320,8.0,South Korea,21.00
389,Li Mi's conjecture,Crime / Drama / Romance,96,2008,Cao Baoping,Zhou Xun / Deng Chao / Zhang Hanyu,Mandarin,323863,8.0,Mainland China/Hong Kong,21.00
390, The Others,Drama / Mystery / Horror,104,2001,Alejandro Amenaval,"Nicole Kidman, Fionnula Flanagan, Christopher Eccleston",English,258881,8.2,USA/Spain/France/Italy,21.00
391,Fallen leaves return to their roots,Drama / Comedy,110,2007,Zhang Yang,Zhao Benshan / Guo Degang / Hong Qiwen,Mandarin,145959,8.2,Mainland China/Hong Kong,21.00
392,"teasing, teasing",Comedy / Family,122,2013,lukin city,Liang Xiushen / Jiang Shuna / Lei Hong,Mandarin,4398,8.2,ChinaTaiwan,21.10
393, En el último trago,Drama / Comedy,93,2015,Jack Zagha Kababie,Luis Bayardo / Rodolfo Guerrero / Eduardo Manzano,Spanish,1461,8.2,Mexico,21.10
394,master,Drama / Action / Martial Arts,109,2015,Xu Haofeng,Liao Fan / Song Jia / Jiang Wenli,Mandarin,301089,8.2,Mainland China,21.10
395,early spring february,Drama / Romance,108,1963,Xie Tieli,Sun Daolin / Xie Fang / Shangguan Yunzhu,Mandarin,10029,8.2,Mainland China,20.60
396,Legend of the White Snake · Love,Drama / Romance / Drama,101,2019,Zhang Xianfeng,Zeng Xiaomin / Wen Ruqing / Zhu Hongxing,Cantonese,46227,8.0,Mainland China,21.10
397,Mom came to see me that day Mom came to see me that day,Drama / Gay / Family,88,2013,Guo Chunhui,Bai Bingbing / Wu Kangren / Wang Tong,Mandarin,2270,8.1,ChinaTaiwan,21.10
398, The World to Come,Drama / Romance / Gay,105,2020,Mona Fastold,Katherine Waterston / Vanessa Kirby / Christopher Abbott,English,29585,8.2,USA,21.20
399, Dirty Rotten Scoundrels,Comedy / Crime,110,1988,Frank Oz,Steve Martin / Michael Caine / Glenne Headley,English,6447,8.2,USA,20.80
400,X CURE キュア,Crime / Horror / Mystery / Thriller,111,1997,Kiyoshi Kurosawa,Koji Yakusho / Masato Hagiwara / Tsuyoshi Ujiki,Japanese,12520,8.2,Japan,20.90
401, The Perks of Being a Wallflower,Drama / Romance,102,2012,Stephen Chobowski,Logan Lerman / Emma Watson / Ezra Miller,English,186791,8.0,USA,21.10
402, The Man from U.N.C.L.E.,Comedy / Action / Adventure,116,2015,Guy Ritchie,Henry Cavill / Armie Hammer / Alicia Vikander,English,150690,8.1,USA/UK,21.10
403,： Who Am I - Kein System ist sicher,Crime / Mystery / Thriller,102,2014,Baron Bo Odal,Tom Schilling / Elias Mubarek / Wotan Welk Merlin,German,211247,8.2,Germany,21.10
404,3： III ,Drama / Crime / Thriller,107,2003,Lau Wai Keung / Mak Siu Fai,Tony Leung / Andy Lau / Dawn,Mandarin,307421,8.2,Mainland China/Hong Kong,21.00
405,Knife,Drama / Action / Martial Arts,105,1995,Tsui Hark,Zhao Wenzhuo / Xiong Xinxin / Sunny,Mandarin,39172,8.1,Hong Kong/Mainland China,20.90
406, Little Women,Drama / Romance,135,2019,Greta Gerwig,Saoirse Ronan / Emma Watson / Florence Pugh,English,416476,8.0,USA,21.10
407,6： Mission: Impossible - Fallout,Action / Thriller / Adventure,147,2018,Christopher McQuarrie,Tom Cruise / Henry Cavill / Ving Rhames,English,478964,8.1,USA/Mainland China/France/Norway/UK,21.10
408, Mission: Impossible,Action / Adventure / Thriller,110,1996,Brian De Palma,Tom Cruise / Jon Voight / Emmanuelle Bea,English,237967,8.2,USA,20.90
409,Werewolf Boy,Love / Fantasy,124,2012,Zhao Shengxi,Song Joong Ki / Park Bo Young / Yoo Yeon Suk,Korean,236354,8.0,South Korea,21.10
410,Her love boils bathwater,Drama / Family,125,2016,Ryota Nakano,Rie Miyazawa / Hana Sugisaki / Joe Odagiri,Japanese,19128,8.0,Japan,21.10
411, The Lady Vanishes,Comedy / Suspense / Thriller,96,1938,Alfred Hitchcock,"Margaret Lockwood, Michael Redgrave, Paul Lucas",English,23083,8.0,UK,20.30
412, Le rayon vert,Drama / Romance,98,1986,Eric Rohmer,Marie Riviere / Amira Chemakhi / Sylvie Richez,French,28902,8.1,France,20.80
413, Martin Eden,Drama,129,2019,Pietro Marcello,Luca Marinelli / Jessica Sisi / Vincenzo Nemorato,Italian,14146,8.0,Italy/France/Germany,21.10
414,Thirteen Girls in Jinling,Drama / History / War,145,2011,Zhang Yimou,Christian Bale / Ni Ni / Zhang Xinyi,Mandarin,636081,8.3,Mainland China/Hong Kong,21.10
415, Sing Street,Drama / Romance / Music,106,2016,John Carney,Fodia Walsh-Piro / Lucy Boynton / Jack Reynor,English,112603,8.2,Ireland/UK/US,21.10
416, Knives Out,Drama / Comedy / Crime / Mystery,130,2019,Ryan Johnson,Daniel Craig / Ana de Armas / Chris Evans,English,735896,8.1,USA,21.10
417," Nicostratos, le Pélican",Comedy,88,2011,Olivier Horlait,François-Xavier Demaison / Emile Kusturica,French,8062,8.1,France/Greece,21.10
418,the ends of the earth,Drama / Romance,109,1996,Li Zhiyi,Takeshi Kaneshiro / Chen Huilin / Wang Minde,Cantonese,10044,8.0,Hong Kong,20.90
419, La cara oculta,Drama / Mystery / Thriller,97,2011,Andres Bais,"Kim Gutierrez, Clara Lago, Martina Garcia",Spanish,206565,8.1,Colombia/Spain,21.10
420," Nosferatu, eine Symphonie des Grauens",Fantasy / Horror,94,1922,F.W. Murnau,"Marcos Sharick, John Gottot, Greta Strued",No dialogue,13485,8.2,Germany,20.20
421,buy a murderer,Crime / Action / Comedy,99,2001,Peng Haoxiang,Ge Minhui / Zhang Daming / Zhan Ruiwen,Cantonese,135525,8.2,Hong Kong,21.00
422, Powder,Drama / Mystery / Fantasy,111,1995,Victor Salva,Mary Steenburgen / Sean Patrick Flannery / Lance Henriksen,English,9889,8.1,USA,20.90
423, Amores perros,Drama / Thriller,154,2000,Alejandro Gonzalez Inarritu,Gael García Bernal / Emilio Echevarría / Álvaro Guerrero,Spanish,47321,8.2,Mexico,21.00
424,Flying against the light Flying against the light,Drama / Romance,107,2012,Zhang Rongji,Zhang Rongrong / Huang Yuxiang / Li Lie,Mandarin,89945,8.2,ChinaTaiwan,21.10
425, Ed Wood,Biography / Comedy / Drama,127,1994,Tim Burton,Johnny Depp / Sarah Jessica Parker / Bill Murray,English,25154,8.2,USA,20.90
426, La Haine,Crime / Drama,98,1995,Matthew Cassowitz,Vincent Cassel / Hubble Koundé / Said Tagmao,French,15173,8.2,France,20.90
427,"Those years, the girl we chased together Those years, the girl we chased together",Drama / Comedy / Romance,110,2011,nine knives,Ke Zhendong / Chen Yanxi / Ao Dog,Mandarin,832375,8.1,ChinaTaiwan,21.10
428, Mystery Train,Comedy / Crime / Drama,110,1989,Jim Jarmusch,Masahiro Nagase / Yuki Kudo / Judy Markle,English,15095,8.1,Japan/US,20.80
429, Hearts in Atlantis,Drama / Suspense,101,2001,Scott Hicks,Anthony Hopkins / Anton Yelchin / Hope Davis,English,8235,8.1,USA/Australia,21.00
430,Eyeglasses,Comedy / Drama,107,2007,Naoko Ogigami,Kobayashi Satomi / Kase Ryo / Ichikawa Miyoshi,Japanese,10457,8.1,Japan,21.00
431,half a catty eight taels half a catty eight taels,Comedy,94,1976,Xu Guanwen,Xu Guanwen / Xu Guanjie / Xu Guanying,Cantonese,23420,8.3,Hong Kong,20.70
432, In Bruges,Drama / Comedy / Crime,107,2008,Martin MacDonald,Colin Farrell / Brendan Gleeson / Clemence Posey,English,130605,8.1,UK/USA,21.00
433, Death at a Funeral,Comedy,90,2007,Frank Oz,Matthew Macfadyen / Carrie Howe / Andy Nyman,English,71160,8.1,UK/US/Germany/Netherlands,21.00
434,X： X-Men: First Class,Action / Drama / Science Fiction,132,2011,Matthew Vaughn,James McAvoy / Michael Fassbender / Kevin Bacon,English,316415,8.2,USA/UK,21.10
435, My Sister's Keeper,Drama / Family,109,2009,Nick Cassavetes,"Abigail Breslin, Sofia Wichnerva, Cameron Diaz",English,57895,8.2,USA,21.00
436, Magnolia,Drama,188,1999,Paul Thomas Anderson,Julianne Moore / William H Macy / John C Reilly,English,28465,8.2,USA,20.90
437, Breaking the Waves,Drama / Romance,159,1996,Lars von Trier,Emily Watson / Stellan Skarsgard / Caitlin Catridge,English,15437,8.1,Denmark/Sweden/France/Netherlands/Norway/Iceland/Spain/UK,20.90
438, Dead Man,Drama / Western / Fantasy / Adventure,121,1995,Jim Jarmusch,Johnny Depp / Cary Farmer / Crispin Glover,English,20267,8.0,USA/Germany/Japan,20.90
439, Morte a Venezia,Drama / Gay,130,1971,Lucino Visconti,Dirk Bogard / Romulo Valli / Mark Burns,English,24885,8.2,Italy/France,20.70
440, L'histoire d'Adèle H.,Biography / Drama / History,96,1975,Francois Truffaut,Isabelle Adjani / Bruce Robinson / Sylvia Marriott,French,17882,8.0,France,20.70
441, Lola rennt,Action / Crime / Thriller,81,1998,Tom Tykwer,"Franca Potente, Moritz Bredo, Herbert Knaup",German,219544,8.1,Germany,20.90
442, Barton Fink,Drama / Comedy / Thriller,116,1991,Joel Cohen / Ethan Cohen,John Turturro / John Goodman / Judy Davis,English,32676,8.1,USA/UK,20.90
443, A Little Romance,Comedy / Romance,108,1979,George Roy Hill,Diane Lane / Lawrence Oliver / Tronias Bernard,French,8333,8.2,France/USA,20.70
444,The taste of tea,Comedy / Drama,143,2004,Katsuhito Ishii,Tadanobu Asano / Maya Banno / Kou Sato,Japanese,6316,8.2,Japan,21.00
445, Les petits mouchoirs,Comedy / Drama,154,2010,Guillaume Cane,Marion Cotillard / Benoit Maguimel / Francois Crucey,French,15175,8.2,France,21.10
446,hear hear hear,Drama / Romance,107,2009,Zheng Fenfen,Eddie Peng / Ivy Chen / Michelle Chen,Mandarin,372758,8.1,ChinaTaiwan,21.00
447, The Age of Innocence,Drama / Romance,139,1993,Martin Scorsese,"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder",English,53159,8.2,USA,20.90
448, L'appartement,Drama / Suspense / Romance,116,1996,Gilles Mimoni,"Romana Paulinger, Vincent Cassel, Jean-Philippe Ascoffier",French,21690,8.1,France/Spain/Italy,20.90
449, Baby's Day Out,Comedy / Adventure,99,1994,Patrick Reed Johnson,Adam Robert Wharton / Jacob Joseph Wharton / Joe Mantegna,English,48343,8.2,USA,20.90
450, The Third Man,Film Noir / Mystery / Thriller,105,1949,Carol Reed,Joseph Cotton / Alida Varley / Orson Welles,English,20029,8.2,UK,20.40
451, U Turn,Crime / Drama / Thriller,125,1997,Oliver Stone,Sean Penn / Nick Nolte / Jennifer Lopez,English,13610,8.0,France/USA,20.90
452, Das Experiment,Drama / Thriller,114,2001,Oliver Hirschbiger,Moritz Bredo / Christian Becker / Oliver Stokowski,German,28851,7.9,Germany,21.00
453, Driving Miss Daisy,Comedy / Drama,99,1989,Bruce Beresford,Morgan Freeman / Jessica Tandy / Dan Aykroyd,English,32894,8.3,USA,20.80
454, The Girl with the Dragon Tattoo,Drama / Crime / Mystery / Thriller,158,2011,David Fincher,Daniel Craig / Rooney Mara / Christopher Plummer,English,220647,8.1,USA/Sweden/Norway,21.10
455, The Avengers,Action / Sci-Fi / Fantasy / Adventure,142,2012,Joss Whedon,Robert Downey Jr. / Chris Evans / Scarlett Johansson,English,615718,8.2,USA,21.10
456,Oiran Sakuran,Drama / History,111,2007,Ninagawa Mika,Anna Tsuchiya / Yoshino Kimura / Masanobu Ando,Japanese,80021,8.1,Japan,21.00
457, Life of Brian,Comedy,94,1979,Terry Jones,Graham Chapman / John Cleese / Terry Gilliam,English,10103,8.0,UK,20.70
458, Abre los ojos,Drama / Romance / Science Fiction / Mystery / Thriller,119,1997,Alejandro Amenaval,Eduardo Noriega / Penelope Cruz / Ferre Martinez,Spanish,17146,8.0,Spain/France/Italy,20.90
459, C.R.A.Z.Y.,Comedy / Gay / Family,127,2005,Jean-Marc Valet,Michelle Coulter / Marc-Andre Grondin / Danielle Prox,French,6102,8.0,Canada,21.00
460, C'est arrivé près de chez vous,Comedy / Crime / Drama / Thriller,95,1992,Rémy Belvaux / André Bonzel / Benoit Porvaud,Benoit Poelvoorde / Jacqueline Poelvoorde-Pappaert / Jenny Drye,French,7235,8.0,Belgium,20.90
461, Transformers,Action / Sci-Fi,144,2007,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel",English,443767,8.3,USA,21.00
462, Clerks,Comedy,92,1994,Kevin Smith,Brian O'Halloran / Jeff Anderson / Marilyn Giglorty,English,21022,8.1,USA,20.90
463, My Life Without Me,Drama / Romance,106,2003,Isabelle Cosette,"Sarah Polley, Amanda Plummer, Mark Ruffalo",English,5332,8.0,Canada/Spain,21.00
464, Transamerica,Drama / Comedy / Adventure,103,2005,Duncan Tucker,"Felicity Hoffman, Kevin Seggs, Danny Burstein",English,11722,8.2,USA,21.00
465," Patrik 1,5",Drama / Comedy / Gay,103,2008,Ella Remhagen,"Gusta Skarsgard, Tokel Peterson, Tom Luengman",Swedish,16550,8.1,Sweden,21.00
466,Happy Yellow Handkerchief Happy Yellow Handkerchief,Comedy / Drama,109,1977,Yoji Yamada,Ken Takakura / Chieko Besho / Kaoru Momoi,Japanese,12673,8.2,Japan,20.70
467,500 (500) Days of Summer,Drama / Comedy / Romance,95,2009,Mark Webb,Joseph Gordon-Levitt / Zoe Deschanel / Geoffrey Arend,English,417332,8.0,USA,21.00
468, Invictus,Biography / Drama / History / Movement,134,2009,Clint Eastwood,"Morgan Freeman, Matt Damon, Tony Goroch",English,44896,8.2,USA,21.00
469, Precious,Drama,110,2009,Lee Daniels,Gabriel Sidibe / Monique / Paula Patton,English,34782,8.1,USA,21.00
470,211 Celda 211,Action / Drama,113,2009,Daniel Monzon,Luis Tosal / Alberto Aman / Antonio Resines,Spanish,40233,8.0,Spain/France,21.00
471,Dad...how are you? Dad... how are you?,Drama,107,2009,Zhang Zuoji,Gao Jie / Ji Peihui / Zhang Jie,Mandarin,7669,8.2,ChinaTaiwan,21.00
472, Micmacs à tire-larigot,Comedy / Crime,105,2009,Jean-Pierre Genet,Danny Byrne / Andre Dussorier / Dominique Pinon,French,31116,8.0,France,21.00
473, Mr. Nobody,Drama / Romance / Science Fiction / Fantasy,141,2009,Jacques van Dommel,Jared Leto / Sarah Polley / Diane Kruger,English,113919,8.2,Canada/Belgium/France/Germany,21.00
474, Ramona and Beezus,Comedy / Family,103,2010,Elizabeth Allen,Joey King / Selena Gomez / John Corbett,English,21655,8.0,USA,21.10
475,127 127 Hours,Drama / Biography / Adventure,94,2010,Danny Boyle,James Franco / Liz Caplan / Kate Mara,English,126442,8.1,USA/UK,21.10
476,Disciple dad,Drama,126,2010,Yoji Yamada,Aoi Yu / Kase Ryo / Ishida Yuriko,Japanese,10814,8.1,Japan,21.10
477, The Social Network,Drama / Biography,120,2010,David Fincher,Jesse Eisenberg / Andrew Garfield / Justin Timberlake,English,428842,8.2,USA,21.10
478,sweet talk sweet talk,Love,87,1999,Zhao Chongji,Gu Tianle / Meng Jiahui / Huang Haoran,Cantonese,10392,8.1,Hong Kong,20.90
479, The Station Agent,Comedy / Drama,89,2003,Tom McCarthy,Peter Dinklage / Josh Pass / Paul Benjamin,English,7478,8.0,USA,21.00
480, Everything You Always Wanted to Know About Sex * But Were Afraid to Ask,Comedy / Erotica,88,1972,Woody Allen,Woody Allen / John Carradine / Tony Holt,English,19588,8.0,USA,20.70
481, Rosetta,Drama,95,1999,Jean-Pierre Darney / Luc Darney,Emily DeQuinn / Fabrizio Longione / Anne Yejono,French,13258,8.2,France/Belgium,20.90
482, Sling Blade,Drama,135,1996,Billy Bob Thornton,Billy Bob Thornton / Lucas Black / John Ritter,English,7462,8.1,USA,20.90
483, Il y a longtemps que je t'aime,Drama / Suspense,117,2008,Philip Clodale,Kristin Scott Thomas / Elsa Zelberstein / Serge Hasenavich,French,15581,8.2,France Germany,21.00
484,Our happy time,Love,120,2006,Song Kaisei,Lee Nai Young / Kang Dong Won / Kang Shin Il,Korean,26469,8.1,South Korea,21.00
485, Delicatessen,Comedy / Fantasy,99,1991,Marc Carroll / Jean-Pierre Genet,Pascal Benezer / Dominique Pinon / Marie-Lore Duniac,French,45835,8.0,France,20.90
486,Welcome to Dongmo Village,Comedy / Drama / War,133,2005,Park Kwang Hyun,Shin Ha Kyun / Jung Jae Young / Kang Hye Jung,English,59317,8.2,South Korea,21.00
487, Wall Street,Crime / Drama,126,1987,Oliver Stone,Charlie Sheen / Michael Douglas / Daryl Hannah,English,52444,8.2,USA,20.80
488,Doubtful cloud like the moon キサラギ,Comedy / Suspense,108,2007,Yuichi Sato,Shun Oguri / Yusuke Nakayama / Keisuke Koide,Japanese,51756,8.1,Japan,21.00
489, The Boondock Saints,Action / Crime / Drama / Thriller,108,1999,Troy Duffy,Willem Dafoe / Sean Patrick Flannery / Norman Reedus,English,45500,8.2,USA / Canada,20.90
490,Κουζίνα κουζίνα Political cuisine,Drama / Comedy,108,2005,Tassos Voulmetis,Georgis Korrafaki / Ieroklis Michailidis / Renia Louizidou,English,4865,8.1,Greece/Turkey,21.00
491, Les amants du Pont-Neuf,Drama / Romance,125,1991,Leo Karax,Juliette Binoche / Denis Lawan,French,47119,8.1,France,20.90
492, Yesenia,Drama / Romance,121,1971,Alfredo Crevina,Jacqueline Andrews / George Rawat / Elma Lozano,Spanish,7550,8.2,Mexico,20.70
493, How to Steal a Million,Comedy / Crime / Romance,123,1966,William Wheeler,Audrey Hepburn / Peter O'Toole / Eli Wallach,English,10375,8.1,USA,20.60
494, The Insider,Biography / Drama / Thriller,157,1999,Michael Mann,Al Pacino / Russell Crowe / Christopher Plummer,English,22990,8.2,USA,20.90
495, The Abyss,Drama / Science Fiction / Thriller / Adventure,145,1989,James Cameron,Ed Harris / Mary Elizabeth Mastrantonio / Michael Biehn,English,37159,8.0,USA,20.80
496, Don Juan DeMarco,Comedy / Drama / Romance,97,1994,Jeremy Levine,Johnny Depp / Marlon Brando / Faye Dunaway,English,17599,8.1,USA,20.90
497, Bienvenue chez les Ch'tis,Comedy,106,2008,Danny Byrne,Cade Maillard / Danny Byrne / Zoe Felix,French,29219,8.1,France,21.00
498, Le vieux fusil,Drama / Thriller / War,103,1975,Robert Enrico,Philippe Noiret / Romy Schneider / Jean Bouiz,French,7838,8.2,France/West Germany,20.70
499, Being John Malkovich,Comedy / Drama / Fantasy / Romance,112,1999,Spike Jones,John Cusack / Cameron Diaz / Catherine Keener,English,59082,8.3,USA,20.90
500,heartbeat,Love,115,1999,Zhang Aijia,Takeshi Kaneshiro / Gigi Leung / Karen Mok,Cantonese,82063,8.2,Hong Kong / Japan,20.90
501,blood on the street blood on the street,Drama / Action / Crime / Thriller,130,1990,John Woo,Tony Leung / Jacky Cheung / Li Zixiong,Cantonese,45987,8.2,Hong Kong,20.90
502,city ​​that never sleeps,Drama / Romance,122,1998,Li Zhiyi,Takeshi Kaneshiro / Miku Yamamoto / Shiina Kihei,Japanese,24756,8.2,Hong Kong / Japan,20.90
503, La cité des enfants perdus,Sci-Fi / Fantasy,112,1995,Marc Carroll / Jean-Pierre Genet,"Ron Perlman, Daniel Emilfolk, Candice Witette",French,9874,7.9,France/Germany/Spain/Belgium/USA,20.90
504, The Royal Tenenbaums,Drama / Comedy / Family,110,2001,Wes Anderson,Gene Hackman / Anjelica Huston / Ben Stiller,English,42630,8.1,USA,21.00
505, Il deserto rosso,Drama,117,1964,Michelangelo Antonioni,Monica Vitti / Richard Harris / Carlo Chionetti,Italian,17616,8.0,Italy/France,20.60
